Category;Value
A;69877.23490596269
B;924229.3916848219
D;711216.0413964832
D;538478.2206464485
D;942007.8008259446
D;609831.9078951174
C;124359.15301232364
C;722176.5735872947
A;221202.31385997936
C;193452.93091142704
C;752994.3786805829
C;551885.6566485694
B;304884.0691705581
C;176381.33587306007
B;878208.2614440372
B;515594.29891719745
B;654479.3606150243
A;95543.75272973182
D;783313.2301688852
D;449753.4138928059
A;886741.1734070847
C;791682.4122514069
A;999596.7700077615
A;909731.588810288
B;258150.4668427277
B;968308.1840374892
A;331351.9698548008
A;351026.49265843566
D;488214.9355985595
A;401754.6150975777
A;274939.3925098428
C;775561.3766659105
B;572937.1069637332
B;573059.5749906452
B;241119.48707255768
A;265441.0335870204
A;944314.8480788734
C;613061.2019210489
B;834289.3779290967
A;199733.996925287
D;678993.8164058093
B;334477.47528842156
C;267384.6746298189
C;701075.4438553946
D;757678.8584474424
C;917331.0051501001
A;512845.524286088
A;701468.4881466321
B;282170.31104789104
C;59917.52389994672
D;25881.935334758597
B;804790.7131399243
A;807054.6389201846
C;800555.3663347545
B;181785.4323238397
C;429227.0636498673
C;620931.7540004643
C;238759.77346857166
B;652285.4077347891
C;195582.95066334915
A;336713.2169714574
C;209769.17176243314
B;327622.4304273475
B;78460.23353785239
A;448467.9308583877
A;635173.5096504579
A;334554.92573663755
B;438550.8416405509
C;257158.02691768677
A;474969.4905087542
D;135767.11321276947
D;852388.1579112449
C;47362.56708021207
C;577679.850537821
D;458614.95426563814
D;356804.1448971777
B;623450.1178522565
B;498441.2625455625
C;326818.2712468709
C;928729.86294855
D;409045.73381701304
C;898482.1282150752
C;936675.675480586
A;410056.8743454141
A;992131.141039209
B;255245.80782521676
A;606623.2801227832
D;139054.0756191481
A;478058.9738565033
A;748864.2756270599
C;924743.5948098502
B;84001.90903366709
C;339531.58664824953
C;727237.8573623499
D;941793.425985575
A;453112.7735630192
C;435348.97621979733
C;761515.9059969358
C;756986.1585339999
C;282738.5431987632
C;688075.5731386946
B;936369.1830502059
D;589301.8002059349
A;155436.71599650293
C;785824.1145322197
D;402583.67421776155
B;315501.7016203711
B;915199.3448064702
C;938951.8346647781
D;485133.37680973083
A;150844.80169192137
D;419455.8173010624
B;90005.16101918621
B;141295.15729242034
B;385015.0969772886
A;77538.20602392303
A;850758.3152283544
A;359270.77805112745
C;524758.7152674592
A;584891.5058224492
B;788589.6624914752
A;955506.8383084118
B;954086.207941019
B;288594.1388185641
D;647474.5870870434
D;817052.1790958574
C;131036.23422798254
C;780950.7955877763
D;239124.7607992667
B;89046.67622297826
C;350102.34113681555
B;535345.6106513903
C;785535.1279052609
D;290467.90631220746
A;476354.30712134775
C;66210.55619865748
C;934099.029950685
A;721824.3534369816
D;5066.142708238629
B;387028.423702742
A;151240.23119370578
D;412372.266751551
B;11416.655841889125
C;934598.7949897413
C;929844.6920900258
A;251169.43490276876
A;655142.4517195019
A;626494.331930303
A;90762.03598898197
D;991139.6343048908
D;489415.4041926901
A;740478.3182705913
C;828384.7145034402
D;580855.2915974606
A;160671.5474083423
C;87777.65118344394
A;305626.32661412057
D;836218.1101772628
A;831472.9559629544
C;99109.98866500189
B;65801.37014272992
A;610149.2738940597
A;377837.67812349467
A;778058.2530044065
D;292824.6655196615
C;938823.5004470495
C;605464.1164218985
D;240998.0019426958
D;297801.74636256456
C;773016.465549429
A;76363.74747782212
B;668545.1127959833
B;896611.6444120462
D;379607.21078215406
B;618737.4884982066
D;684990.7970265435
B;563540.0182433202
A;707630.6005746004
C;83070.08230397398
B;871647.3991703049
C;296276.2551900922
D;435528.37221697345
A;267767.7317774568
B;295743.79885881534
C;472611.7884062233
C;743394.4437650917
A;977479.6948296954
A;351256.74209526373
D;551816.1681027074
A;973813.0887733665
B;748484.6075461964
B;169797.47917467833
B;509026.80984599487
C;935215.3576896554
C;371513.322455225
D;194277.75166837903
D;399116.2092701115
B;76409.14319255544
B;329649.2345959246
C;137730.98246307112
D;798945.1793180236
B;631446.8213061737
A;721985.3405090397
A;913122.4404020733
B;690692.9705720965
A;568876.8077190137
D;535359.7965130932
C;2594.9450550043953
B;659155.4984770791
B;238786.39733551766
C;586816.7429137671
D;593897.4585266857
C;641009.7572951993
B;510267.07376179897
C;43009.07930156767
A;128346.0885351657
B;765680.6106871564
B;665745.735958872
D;218744.00638819885
C;320192.73504172004
C;805110.6726989176
A;570724.2758698493
B;122097.3087563225
A;504269.83950779226
C;253368.70812480038
A;907330.1906479491
B;141611.800763925
B;922769.4891432537
B;484315.2069941407
C;480065.7369633786
B;988550.1220448936
B;974252.8974848471
A;188758.01629626277
A;58279.836768212546
A;119085.8270238646
B;979182.9245011285
C;351290.29935097415
B;465926.25843635143
C;946024.6100199082
C;411316.16829094436
D;112330.54543514732
B;245696.68856650038
B;208044.55320377473
A;562154.0094849468
B;103598.93892372966
A;852960.1789738104
B;352417.63190453814
A;613887.1613984207
B;435692.09171269386
A;78305.97304860372
B;214981.25521849896
D;658396.2132127802
D;459781.5405878372
D;866108.4559000804
A;563086.576868244
D;743712.6345016522
C;557908.8945589741
A;197308.19776104102
D;921598.6708883118
A;914941.2674483303
B;369947.25581018283
A;954329.7198749846
B;876116.8083157152
C;989949.6052765226
A;156139.56994159913
C;826653.5787457153
B;335998.4699082341
C;303706.77863067976
A;858952.6461417348
D;409047.7121411594
C;825917.7175279189
C;706960.4317166004
