Category;Value
A;893310.2185881287
A;971480.0301224407
D;3655.816613722756
A;681467.1010912576
C;313695.7005794092
B;7398.341831011655
B;221483.44116206086
A;788279.2079003463
B;809857.2154937501
D;903824.5724089259
C;480916.0365154182
C;90450.73860337726
A;869678.4878979088
D;746959.2372101767
C;855194.5147182952
B;198704.6496824701
D;184506.7311277455
D;323581.5142842594
A;23656.137779038443
D;490174.43207123264
A;563823.7085240798
B;626763.612416612
D;368308.2153217959
C;136607.33770956626
D;634510.9510613338
C;923690.7403987814
B;398989.2901988982
C;205848.7508285176
A;265814.4776474139
D;400738.96128083364
A;506426.442853056
D;73897.58755143825
C;94278.82933519731
D;822340.8214809619
A;36013.63325734218
D;853003.6686560449
C;866772.8267013598
C;330114.625511846
B;502590.1514806681
A;587907.0663730041
B;934043.5023669084
B;686758.1515441863
B;790235.834073427
B;237368.6951656224
A;645486.9127478688
D;184547.0530805233
B;644788.962199317
C;536407.3294278224
A;225983.28684100095
C;537360.9234506682
D;701311.3646634979
B;952780.9653293092
D;59254.60076265403
D;972580.0917189964
A;699870.885668725
D;838756.8895691636
D;685403.9894350216
B;701389.1064950498
B;632922.4901305208
B;358117.6355674001
D;236979.02934167424
D;113868.30652720033
B;155316.4615784094
D;238836.8155787614
B;512723.17802586086
D;110517.19724979767
C;614345.6116812988
B;401622.8460909841
C;537223.2330813496
C;30850.176854334233
A;161693.8143092241
A;333752.9166617351
B;666512.0133626353
B;972221.530933532
C;477077.9218429678
B;586288.38406169
A;566574.6801261412
B;803025.0752395453
D;776111.4298606806
A;226444.07697966706
A;259663.61144647285
B;759282.6503698808
B;280217.34326187114
B;594737.9741500173
B;728223.0353811202
D;821739.7846311325
A;671884.3720293058
B;929514.1338906117
D;771508.5704247381
D;839348.4733237815
C;345271.641834341
C;602113.2621867608
D;25741.189002775744
C;693496.3036602045
C;935147.5430855536
D;144241.931516455
A;840484.8968679856
B;465628.8498040293
C;34433.87170455295
B;828270.0125991855
D;556706.4613902033
C;522192.23048845056
D;826392.3030373339
B;811800.0259536454
B;937079.4863003963
A;256834.94475458242
C;789997.9093163288
B;786959.0183226237
C;446999.9788300843
A;802241.8754020961
A;94960.08257589568
C;232308.51331296348
A;107184.99920513386
A;866635.9610076266
C;683298.1686371794
D;497194.0439283132
B;744697.6391002898
D;613752.0042775014
C;589580.7177723282
A;571913.4936762032
A;511756.422596361
A;63163.57374966104
D;949096.1035145118
C;961457.3200316422
B;624729.5109600184
D;900485.2799420898
B;931894.1612544067
B;575636.7739095835
B;124591.06969093965
C;597990.4084419877
C;725167.2694496984
C;975753.6532070357
B;618492.0527435447
A;566100.6410756067
C;533617.2590137786
C;619652.6451324857
C;143633.4932260912
D;415889.15225466137
C;677442.793525369
D;442743.5179324472
D;279030.36890121055
B;99360.80144497898
C;237955.14586693124
C;594681.233073362
A;617282.4207044624
B;517213.7303937012
B;2014.9753694920396
C;90191.89953002719
D;105889.81806459783
A;784292.6669192835
C;570403.200632736
D;509306.925519219
B;77743.93191195873
D;281771.9506440162
C;486329.63842201733
C;40359.96956710826
B;868075.6161990272
B;10432.418151408827
C;332167.0453995753
A;327898.5009640828
D;154741.6106111688
D;631981.9167755493
D;874792.6582044909
C;6135.020780932208
D;41242.04242021964
C;895660.7234098337
C;405821.31263118825
C;5717.135361070667
B;488220.14435069327
A;368089.6186028984
C;937831.6492081974
C;481602.50386891724
B;569270.3800732739
D;111075.44616971682
A;968870.5339750319
A;758176.6932146695
D;82427.38761063675
C;579031.6060928258
C;740599.3864584864
A;838157.5381881375
C;185186.64548692718
C;67946.4491865665
D;648612.1787382433
C;837920.551009213
C;376624.9614521773
A;399559.1600807077
C;330235.9413256778
C;425002.67237847054
D;835143.1824594135
A;516309.0568831351
D;793669.071119079
B;176639.82774160538
D;543011.3147440411
D;190040.65778709855
C;57593.33482524439
C;28216.000405339
A;649090.4610545146
D;905564.7380695731
A;71513.15367519377
A;709616.4682054598
B;756920.6543929449
C;914248.7219463103
D;585522.1677350685
D;683250.6903235327
A;982693.6023179089
C;420335.6697606803
D;904434.5502023932
C;863543.0045175302
D;112313.61994815142
A;854454.6908120991
B;819396.9864622003
C;527353.9173988778
