Category;Value
D;124916.3591593537
A;87782.36367456034
C;837251.4503699257
A;422601.2438127459
C;847106.9631778175
A;926155.2469742774
C;758198.3320464873
D;926714.7121913882
B;725276.3852790163
D;723422.7015904768
C;678323.7812694217
B;400829.27548981796
C;182881.88189741466
B;817987.1141681607
C;422177.21755669016
C;911352.066597864
B;834887.375565951
D;213049.19538061396
C;658754.6917107843
D;842366.1195553505
B;916459.3858846076
B;735539.8860971226
B;759616.9878251941
D;416871.46180088184
C;979548.6201994354
A;335281.0125161675
C;697197.2941863078
D;627865.9508954297
B;237443.8348758406
A;300261.40266412095
D;530687.5579875655
B;859655.3109578468
A;428387.1436418101
C;853275.9099413197
D;941422.8725304469
A;797027.0616888821
D;888032.2507376014
A;888380.3776758809
A;247106.6210047803
D;679007.3657109782
C;494455.47726434347
C;28827.929883386307
B;259927.56204391416
C;29264.20477101243
A;647722.6442485633
B;177408.66371659585
C;108414.161806209
A;526050.363127697
D;368375.5833309063
C;472478.9854997028
D;237412.20222869393
C;580941.2516671587
A;930223.738279395
C;899151.2596266535
B;430317.8198857003
D;782933.1147430324
A;294367.0736836389
D;845701.0535731122
D;615269.1869919919
A;647072.5523880202
D;497571.1173903187
B;33013.644041042746
A;659712.4111201722
B;526409.865486624
B;225052.67318646878
A;517896.03787675936
C;129531.08761588966
C;185622.87371988597
B;577081.2175969118
A;562852.096035946
C;679055.2968968089
A;617465.019178932
B;890008.562625679
C;582788.7387685111
C;181259.3980663777
B;237410.2099778055
C;999900.1828639917
A;436435.0906148956
C;461948.59722027986
A;92330.05982691947
D;345250.5567872966
A;997101.6069888592
D;695495.8425378802
A;587512.3369622488
D;610916.592313848
C;643283.7083949408
C;26154.954260194525
B;536975.1898615627
A;819229.7329730168
D;760956.5020386408
C;813267.4201110089
A;725262.7809491714
A;733222.1514382557
B;678722.4827104954
C;96895.6669555252
D;75026.68624067064
A;9982.073484958408
A;683295.8743863392
D;352579.523327774
C;904556.0849056805
B;251754.10988806482
D;595483.1610486927
A;389489.9122313643
B;297505.035753132
A;453069.9865753108
C;307623.3677121037
B;98860.13095294962
D;760345.6132374636
B;249804.724502895
C;153403.4171142665
C;730991.7909352421
A;285423.9464347708
B;47609.089008630486
A;270756.2483208941
A;453248.3050583355
A;979563.2158374417
B;360274.4384484691
A;903940.6418873429
B;920757.2912611257
C;287781.89221952687
B;816657.4258502721
C;399880.19344280765
C;461114.8284420002
D;963791.2337581714
B;757969.361961207
A;759276.5272945375
A;184525.64438588862
A;88821.81839919639
B;365480.20852101204
A;385141.33218643116
B;596824.6977341947
D;198706.41387888158
D;441445.6899024056
A;680931.8351228439
D;853756.548262624
A;221198.98084546797
C;115269.71553457719
B;327262.2624344836
D;956267.671038695
A;978386.8150981826
D;38525.94061184526
D;927575.1274351139
B;672713.3075711812
C;513085.11706810584
B;455034.41515914246
C;650947.3719765194
A;956402.003732722
D;413051.01408048277
B;389168.0898879491
A;865949.8119450671
D;688417.6174654331
C;687360.1821153563
A;714058.7547318214
D;117295.0174781449
B;134758.40325923168
B;83339.80230316808
B;799568.5613498758
B;154055.47755695877
C;865274.7978310781
A;802454.3492173877
B;452561.7822604489
C;485940.5002460006
D;794601.8334518659
A;226255.0979971225
B;950019.5994924692
B;95412.33716854239
B;451440.779979787
C;684780.551211874
C;698616.805919649
A;862140.4036583655
B;289210.3604467573
A;236182.28278368938
B;86164.56000139884
D;92419.79650886192
A;869517.5534325509
C;724508.1811144198
A;623163.0834700972
C;943391.0940187307
C;427459.5396308166
C;169031.96360233362
B;635535.4656660577
B;443238.6019909903
A;331693.25872870476
A;540750.8278472245
B;972452.4823620276
D;651566.320314383
A;30173.68654091937
D;798565.0348440554
A;421831.24096896464
A;918807.1392029298
A;345928.2921972056
C;922063.3113021648
B;304013.1614550392
D;276104.1510442077
C;516931.687653468
D;60051.49086806997
A;699436.1524087967
A;15849.678399612345
A;246168.87119270276
D;371841.2153178791
D;231352.45232487412
B;475142.6720177703
C;31953.525467895466
D;722598.7706092793
B;996627.0286849578
A;11586.505324515158
D;818492.8748048757
A;33045.32322337712
D;372189.90827223886
B;348021.4477413453
B;55866.73162514614
D;208565.81281280192
A;749636.0459692924
A;476417.04525506345
B;536592.6165608703
D;149284.98187153027
C;200357.2193416004
B;353116.01439513813
A;928174.9404289003
C;353404.47509196994
A;975822.5788607486
C;211932.15363301706
D;359560.44466137094
A;175753.11619639874
C;960566.0553340424
B;262113.1020106585
B;699513.9901920507
A;137234.49656090554
B;787180.1599592265
C;389018.32585436705
C;393616.98782631475
C;543198.9162509736
A;490884.2974349477
C;519339.2542021777
A;352619.4663071372
A;827308.245502055
C;867221.3607791258
C;149079.10075656892
C;333519.65257002023
D;809794.1639327529
B;277124.3107990639
A;686740.2545138372
B;573727.1309048649
D;524063.97951872315
B;971918.1487754462
D;235620.48465429217
B;477113.1039358561
A;19974.639791338443
A;337068.52162106393
D;957959.9517462628
D;794243.8026270699
A;856658.4633793848
B;461916.1852858332
C;304610.6684408403
C;57710.28037730172
A;818372.2833981997
A;913267.930464656
A;457890.8091144578
B;96382.26690329635
B;899228.2431354956
A;104918.13689143065
B;214652.96104504637
D;559299.0582500723
D;249164.9842140436
B;790046.8811355189
C;98475.5024168813
C;695941.4881138866
A;386107.01810938516
A;198072.10106780333
C;294923.05314251623
D;647715.4303221595
B;574411.010545028
D;228928.2082414245
A;766478.9792010079
B;436106.82210889383
D;900340.42895308
A;535398.6891069894
D;241312.2240160658
B;890156.2966728755
D;141539.0630549089
D;368501.85640856926
B;758447.661399464
B;757707.226370027
B;705384.6526856114
C;487183.14050387853
D;469574.4768742225
D;458885.70580901316
D;460505.22556429345
A;546538.3414161527
C;684412.7681690538
D;707240.9213273921
D;344763.3627565275
C;807247.4009038358
A;721367.49199753
C;634967.8835674867
B;792833.3605786513
C;173095.20423574158
C;391136.4337501885
D;170730.2435442912
A;872550.9256568279
B;446788.6486749483
D;436472.50108556304
A;92302.48411935342
D;532581.6929745972
D;5347.603410432536
B;407925.54752206046
C;587694.9307521924
A;108316.12351395396
D;220182.9258147058
C;892782.5164076568
C;570693.4422777065
D;535772.590493281
D;125272.58760512115
B;553410.6771308588
A;194869.25628219894
A;923647.7343302515
B;567028.28130274
A;482376.1397649335
C;306327.1712156727
B;454616.38627632044
D;605088.0936325741
A;726010.1722913543
A;798872.8658956663
A;273434.18976501195
A;366218.1622138952
B;601134.6650869527
D;48536.02040620319
C;326413.79033550207
D;265105.4906565903
A;174423.19501245403
C;41457.28272849052
A;9140.964793088495
A;605656.7149877603
A;961139.2624815922
B;84554.79206361686
A;825786.1347471657
C;208347.40252120062
A;720760.221945395
A;849143.3615532956
A;503409.8119740507
B;998856.8699068401
D;875310.097267212
A;588945.7477779968
D;435688.0711817621
C;57143.83584043865
B;690287.1937711284
D;616901.5585273467
D;946943.1533593643
C;991053.4861761491
A;238597.44969590043
A;627675.8991647309
A;375782.68266273837
B;540225.2825154837
A;854030.6412896059
D;386042.78691425547
C;640471.6588550532
D;888299.1027804476
A;534204.8929738227
B;185355.58297456053
B;352112.6998534742
A;651649.6527880069
C;256473.4353057914
D;643970.872960392
A;589478.5929313026
A;69397.58392061532
B;674497.4087824301
D;853623.0927808187
D;820070.110465001
B;13135.1262428873
A;615676.3693212001
B;260511.61639049786
A;850068.0175016996
A;684958.2433821403
D;700396.701076201
D;820932.4708750038
C;789485.6210023874
B;283045.18783843186
